repo,module_count,import_count,dependency_density,total_commits,bug_commits,failure_rate
airflow,6810,45854,6.733333333,36451,12640,0.346766893
ansible,1787,10023,5.608841634,55347,22525,0.406977795
attrs,54,273,5.055555556,1757,474,0.269778031
black,317,725,2.287066246,2161,793,0.366959741
celery,415,3087,7.438554217,13024,3196,0.24539312
core,16310,143757,8.814040466,106164,28299,0.266559286
dash,365,1574,4.312328767,9236,2171,0.235058467
django,2894,11992,4.143745681,34364,21576,0.627866372
fastapi,1118,3564,3.18783542,6914,672,0.097194099
flask,83,726,8.746987952,5522,1567,0.283773995
httpx,60,367,6.116666667,1523,299,0.196323047
jinja,60,652,10.86666667,2949,793,0.268904713
keras,962,9965,10.35862786,12087,4567,0.377843965
locust,146,1029,7.047945205,6282,1566,0.249283668
luigi,116,665,5.732758621,885,256,0.289265537
numpy,492,3898,7.922764228,40845,15166,0.371306157
pandas,1507,11637,7.721964167,37342,15030,0.402495849
poetry,437,4185,9.576659039,3720,1306,0.351075269
pydantic,403,3713,9.213399504,5425,1831,0.337511521
pyinstaller,1083,3137,2.896583564,9940,4063,0.408752515
pytest,263,4417,16.79467681,17190,5939,0.345491565
requests,36,263,7.305555556,6411,1366,0.213071284
salt,2622,15141,5.774599542,123851,39162,0.316202534
scikit-learn,989,10170,10.28311426,33440,9796,0.292942584
scrapy,428,3937,9.198598131,11001,2474,0.224888646
sqlalchemy,663,18595,28.04675716,17970,6492,0.361268781
starlette,67,657,9.805970149,1585,317,0.2
sympy,1590,28718,18.06163522,61851,15765,0.254886744
transformers,4037,38223,9.468169433,22226,11651,0.524205885
xarray,237,3434,14.48945148,6375,2636,0.413490196
